zip_code,year,median_household_income
33545,2018,77705
33602,2018,71043
33624,2018,68125
33559,2018,63414
33634,2018,58013
33629,2018,115180
33606,2018,79598
33616,2018,60538
34677,2018,62288
33603,2018,43012
33613,2018,32676
33621,2018,67708
33626,2018,106560
33612,2018,33196
33614,2018,39746
33635,2018,60267
33511,2018,57868
33605,2018,26954
33610,2018,34878
33611,2018,64523
33625,2018,68300
46077,2018,134644
46128,2018,65833
46208,2018,34083
46219,2018,39772
46239,2018,72884
46241,2018,38102
46142,2018,72999
46203,2018,37598
46222,2018,33064
46224,2018,36063
46226,2018,34734
46228,2018,65524
46231,2018,63488
46254,2018,45138
46260,2018,47919
46278,2018,109891
46112,2018,80394
46113,2018,72430
46218,2018,24993
46220,2018,68725
46236,2018,82848
46221,2018,47768
46227,2018,40625
46268,2018,52149
46033,2018,132432
46240,2018,58982
46202,2018,41123
46205,2018,46157
46217,2018,62083
46259,2018,104130
46037,2018,113910
46143,2018,70944
46201,2018,29313
46225,2018,34962
46234,2018,75371
46250,2018,56487
46229,2018,47903
46235,2018,36166
46032,2018,102143
46204,2018,49214
46214,2018,47790
46216,2018,41546
46237,2018,64723
46256,2018,66804
46280,2018,62119
46290,2018,250001
37203,2018,53214
37205,2018,103156
37214,2018,56910
37072,2018,64093
37138,2018,70492
37207,2018,37951
37208,2018,34945
37027,2018,132364
37189,2018,65224
37228,2018,29119
37206,2018,54176
37210,2018,34824
37026,2018,51250
37115,2018,43521
37135,2018,120230
37201,2018,76250
37211,2018,53188
37212,2018,61951
37216,2018,54807
37218,2018,46904
37204,2018,78739
37067,2018,106492
37013,2018,54811
37213,2018,-666666666
37076,2018,62179
37243,2018,-666666666
37246,2018,-666666666
37215,2018,117105
37220,2018,121532
37221,2018,80564
37209,2018,53062
37217,2018,48875
37219,2018,97417
19087,2018,137943
19111,2018,48186
19123,2018,73730
19142,2018,30431
19143,2018,33351
19148,2018,52584
19149,2018,45126
19151,2018,48369
19150,2018,46150
19118,2018,85437
19107,2018,53534
19126,2018,41266
19132,2018,20955
19134,2018,28911
19121,2018,19668
19128,2018,72563
19131,2018,34844
19135,2018,44779
19102,2018,90750
19113,2018,39891
19122,2018,35828
19129,2018,63926
19133,2018,19130
19144,2018,33786
19130,2018,82632
19140,2018,21665
19147,2018,77695
19152,2018,52696
